S.no,Product Code,Item Name,Category Name,Menu,Qty,Gross Sales,Net Sales,Taxes,Orders,% Sales,Order Source
141,,BBQ,Dips,Third Party Menu,5,£4.40,£4.40,£0.00,5,0.03%,All
142,,Hot Chilli,Dips,Third Party Menu,4,£3.85,£3.85,£0.00,4,0.03%,All
143,,Sweet Chilli,Dips,Third Party Menu,8,£7.70,£7.70,£0.00,8,0.05%,All
144,,Ketchup,Dips,Third Party Menu,1,£1.00,£1.00,£0.00,1,0.01%,All
145,,Truffle Mayo,Dips,Third Party Menu,9,£8.85,£8.85,£0.00,7,0.06%,All
146,,House Italian Herb Mayo,Dips,Third Party Menu,13,£12.10,£12.10,£0.00,11,0.08%,All
147,,Garlic Mayo,Dips,Food Menu,8,£8.00,£8.00,£0.00,7,0.06%,All
148,,Hot Chilli,Dips,Food Menu,2,£2.00,£2.00,£0.00,2,0.01%,All
149,,Sweet Chilli,Dips,Food Menu,2,£2.00,£2.00,£0.00,2,0.01%,All
150,,Truffle Mayo,Dips,Food Menu,1,£1.00,£1.00,£0.00,1,0.01%,All
151,,House Italian Herb Mayo,Dips,Food Menu,4,£4.00,£4.00,£0.00,4,0.03%,All
152,,Truffle Focaccia Bread,Sides,Third Party Menu,1,£5.69,£5.69,£0.00,1,0.04%,All
153,,6Inch Garlic Pizzette,Sides,Third Party Menu,3,£11.92,£11.67,£0.25,3,0.08%,All
154,,Chicken Tikka Supreme 12Inch,Stone-Baked Pizzas (12Inch),Third Party Menu,2,£34.03,£34.03,£0.00,2,0.24%,All
155,,Vitto Signature Special 12Inch,Stone-Baked Pizzas (12Inch),Third Party Menu,1,£19.94,£19.94,£0.00,1,0.14%,All
156,,Hot Honey Pepperoni,Signatures,Third Party Menu,21,£317.70,£317.70,£0.00,20,2.20%,All
157,,Zia Meatball Bolognese 12Inch,Stone-Baked Pizzas 12Inch,Food Menu,2,£14.45,£12.04,£2.41,2,0.10%,All
158,,Zia Meatball Bolognese 12Inch,Stone-Baked Pizzas (12Inch),Third Party Menu,10,£171.35,£170.60,£0.75,10,1.19%,All
159,,Lasagne Combo Deal,Offer,Third Party Menu,7,£79.57,£79.15,£0.42,6,0.55%,All
160,,Garlic Dough Balls,Dough Balls (7 pcs),Food Menu,5,£0.00,£0.00,£0.00,4,0.00%,All
161,,Hot Honey Dough Balls,Dough Balls (7 pcs),Food Menu,16,£0.00,£0.00,£0.00,3,0.00%,All
162,,Cheesy Dough Balls,Dough Balls (7 pcs),Food Menu,13,£12.75,£12.75,£0.00,11,0.09%,All
163,,Garlic Dough Balls,Dough Balls,Third Party Menu,12,£50.43,£50.43,£0.00,12,0.35%,All
164,,Hot Honey Dough Balls,Dough Balls,Third Party Menu,6,£28.55,£28.55,£0.00,6,0.20%,All
165,,Cheesy Dough Balls,Dough Balls,Third Party Menu,15,£66.49,£66.49,£0.00,15,0.46%,All
166,,Truffle Parmesan Dough Balls,Dough Balls,Third Party Menu,5,£28.45,£28.45,£0.00,5,0.20%,All
167,,Hot Honey Gammon Pizza 12Inch,Stone-Baked Pizzas (12Inch),Third Party Menu,5,£75.39,£75.39,£0.00,5,0.52%,All
168,,Classic Crispy Chicken Wings (6 pcs),Chicken,Food Menu,1,£6.25,£5.21,£1.04,1,0.04%,All
169,,Southern Fried Chicken Strips (5 pcs),Chicken,Food Menu,1,£6.25,£5.21,£1.04,1,0.04%,All
170,,Chicken Alfredo Loaded Fries,Loaded Fries,Third Party Menu,8,£71.75,£71.75,£0.00,8,0.50%,All
171,,BBQ Chicken Loaded Fries,Loaded Fries,Third Party Menu,12,£97.58,£97.58,£0.00,11,0.68%,All
172,,Garlic Parmesan Loaded Fries (V),Loaded Fries,Third Party Menu,7,£55.93,£55.93,£0.00,7,0.39%,All
173,,Classic Crispy Chicken Wings (6 pcs),Chicken,Third Party Menu,4,£27.64,£27.64,£0.00,4,0.19%,All
174,,BBQ Chicken Wings (6 pcs),Chicken,Third Party Menu,2,£15.52,£15.52,£0.00,2,0.11%,All
175,,Sweet Chilli Chicken Wings (6 pcs),Chicken,Third Party Menu,1,£7.76,£7.76,£0.00,1,0.05%,All
176,,Hot Honey Chicken Wings (6 pcs),Chicken,Third Party Menu,9,£72.47,£72.47,£0.00,5,0.50%,All
177,,Southern Fried Chicken Strips (5 pcs),Chicken,Third Party Menu,4,£28.72,£28.72,£0.00,4,0.20%,All
178,,Pizzette with Fries and Soft Drink,Express Lunch,Third Party Menu,4,£29.64,£29.64,£0.00,2,0.21%,All
179,,Focaccia Sandwich with Soft Drink,Express Lunch,Third Party Menu,2,£14.78,£14.78,£0.00,2,0.10%,All
180,,Any Classic 12Inch Pizza with Soft Drink,Express Lunch,Third Party Menu,2,£21.16,£21.16,£0.00,2,0.15%,All
181,,Strawberry Cheese Cake Tiramisu,ZIA TIRAMISU,Third Party Menu,2,£13.58,£13.58,£0.00,2,0.09%,All
182,,Mineral Water - Natural 330ml,Drinks,Food Menu,2,£0.00,£0.00,£0.00,2,0.00%,All
183,,6Inch Garlic Pizzette,Sides,Food Menu,3,£7.40,£6.42,£0.98,2,0.05%,All
184,,Chicken Tikka Supreme 12Inch,Stone-Baked Pizzas 12Inch,Food Menu,1,£0.00,£0.00,£0.00,1,0.00%,All
185,,Vitto Signature Special 12Inch,Stone-Baked Pizzas 12Inch,Food Menu,1,£0.00,£0.00,£0.00,1,0.00%,All
186,,Hot Honey Pepperoni,Zia Signatures,Food Menu,7,£53.80,£44.83,£8.97,7,0.37%,All
187,,Truffle Parmesan Dough Balls,Dough Balls (7 pcs),Food Menu,6,£0.00,£0.00,£0.00,5,0.00%,All
188,,BBQ Chicken Loaded Fries,Loaded Fries,Food Menu,3,£22.35,£18.63,£3.72,3,0.16%,All
Total,,,,,1975,"£14,412.06","£13,587.69",£822.39,1714,,
