S.no,Item Name,Category Name,Menu,Qty,Gross Sales,Net Sales,Taxes,Orders,% Sales,Order Source
129,Carlsberg Pilsner,Draught Beers and Ciders,DRINKS MENU,11,£40.07,£40.07,£0.00,6,0.28%,All
130,Thatchers Gold Cider,Draught Beers and Ciders,DRINKS MENU,39,£186.73,£186.73,£0.00,26,1.30%,All
131,Angelo Poretti (Italian Lager),Draught Beers and Ciders,DRINKS MENU,87,£425.33,£425.33,£0.00,52,2.96%,All
132,Guinness,Draught Beers and Ciders,DRINKS MENU,21,£106.50,£106.50,£0.00,14,0.74%,All
133,Wainwright Amber Ale,Draught Beers and Ciders,DRINKS MENU,18,£85.00,£85.00,£0.00,10,0.59%,All
134,Hobgoblin Session IPA,Draught Beers and Ciders,DRINKS MENU,17,£88.73,£88.73,£0.00,12,0.62%,All
135,Shipyard American Pale Ale,Draught Beers and Ciders,DRINKS MENU,13,£63.01,£63.01,£0.00,10,0.44%,All
136,1664 Blanc,Draught Beers and Ciders,DRINKS MENU,16,£86.26,£86.26,£0.00,9,0.60%,All
137,Estrella Damm,Draught Beers and Ciders,DRINKS MENU,16,£92.00,£92.00,£0.00,12,0.64%,All
138,Peroni Nastro Azzurro (330ml),Bottled Beers and Ciders,DRINKS MENU,4,£17.41,£17.41,£0.00,3,0.12%,All
139,Birra Moretti (330ml),Bottled Beers and Ciders,DRINKS MENU,2,£9.00,£9.00,£0.00,2,0.06%,All
140,Corona Extra (330ml),Bottled Beers and Ciders,DRINKS MENU,1,£4.95,£4.95,£0.00,1,0.03%,All
141,Thatchers Blood Orange (500ml),Bottled Beers and Ciders,DRINKS MENU,5,£25.00,£25.00,£0.00,4,0.17%,All
142,Kopparberg Mixed Fruit (500ml),Bottled Beers and Ciders,DRINKS MENU,4,£21.00,£21.00,£0.00,4,0.15%,All
143,Peroni 0.0,Alcohol-Free Beers and Ciders 0Percent,DRINKS MENU,10,£46.50,£46.50,£0.00,7,0.32%,All
144,Guinness 0.0,Alcohol-Free Beers and Ciders 0Percent,DRINKS MENU,24,£111.40,£111.40,£0.00,18,0.78%,All
145,Heineken 0.0,Alcohol-Free Beers and Ciders 0Percent,DRINKS MENU,7,£32.55,£32.55,£0.00,7,0.23%,All
