S.no,Product Code,Item Name,Category Name,Menu,Qty,Gross Sales,Net Sales,Taxes,Orders,% Sales,Order Source
122,,Classic Green Salad(Vg),Sides,Third Party Menu,2,£11.38,£11.38,£0.00,2,0.07%,All
123,,Caprese Salad(V),Sides,Third Party Menu,15,£116.25,£116.25,£0.00,15,0.70%,All
124,,Burrata Salad(V),Sides,Third Party Menu,2,£21.72,£21.72,£0.00,2,0.13%,All
125,,Caprese Salad(V),Sides,Food Menu,5,£20.85,£20.85,£0.00,5,0.13%,All
126,,Burrata Salad(V),Sides,Food Menu,1,£9.45,£9.45,£0.00,1,0.06%,All
127,,Garlic Mayo,Dips,Third Party Menu,68,£64.97,£64.97,£0.00,54,0.39%,All
128,,BBQ,Dips,Third Party Menu,6,£5.55,£5.55,£0.00,6,0.03%,All
129,,Hot Chilli,Dips,Third Party Menu,3,£2.85,£2.85,£0.00,3,0.02%,All
130,,Sweet Chilli,Dips,Third Party Menu,9,£8.85,£8.85,£0.00,7,0.05%,All
131,,Ketchup,Dips,Third Party Menu,1,£0.85,£0.85,£0.00,1,0.01%,All
132,,House Italian Herb Mayo,Dips,Third Party Menu,34,£32.50,£32.50,£0.00,30,0.20%,All
133,,Garlic Mayo,Dips,Food Menu,21,£21.00,£21.00,£0.00,16,0.13%,All
134,,BBQ,Dips,Food Menu,4,£4.00,£4.00,£0.00,3,0.02%,All
135,,Hot Chilli,Dips,Food Menu,6,£6.00,£6.00,£0.00,5,0.04%,All
136,,Sweet Chilli,Dips,Food Menu,6,£6.00,£6.00,£0.00,4,0.04%,All
137,,House Italian Herb Mayo,Dips,Food Menu,11,£11.00,£11.00,£0.00,6,0.07%,All
138,,Chicken Tikka Supreme 12Inch,Stone-Baked Pizzas 12Inch,Food Menu,4,£55.80,£46.50,£9.30,4,0.34%,All
139,,Chicken Tikka Supreme 12Inch,Stone-Baked Pizzas (12Inch),Third Party Menu,9,£139.69,£139.44,£0.25,9,0.85%,All
140,,Vitto Signature Special 12Inch,Stone-Baked Pizzas (12Inch),Third Party Menu,5,£89.35,£88.60,£0.75,5,0.54%,All
141,,Hot Honey Pepperoni,Signatures,Third Party Menu,27,£412.97,£412.47,£0.50,27,2.50%,All
142,,Hot Honey Pepperoni,Zia Signatures,Food Menu,5,£68.75,£57.54,£11.21,5,0.42%,All
143,,Zia Meatball Bolognese 12Inch,Stone-Baked Pizzas 12Inch,Food Menu,3,£44.85,£37.63,£7.22,3,0.27%,All
144,,Zia Meatball Bolognese 12Inch,Stone-Baked Pizzas (12Inch),Third Party Menu,16,£271.33,£270.58,£0.75,16,1.64%,All
145,,Garlic Dough Balls,Dough Balls (7 pcs),Food Menu,10,£26.25,£26.25,£0.00,9,0.16%,All
146,,Hot Honey Dough Balls,Dough Balls (7 pcs),Food Menu,3,£4.25,£4.25,£0.00,3,0.03%,All
147,,Cheesy Dough Balls,Dough Balls (7 pcs),Food Menu,10,£29.75,£29.75,£0.00,10,0.18%,All
148,,Garlic Dough Balls,Dough Balls,Third Party Menu,19,£77.37,£77.37,£0.00,19,0.47%,All
149,,Hot Honey Dough Balls,Dough Balls,Third Party Menu,13,£58.84,£58.84,£0.00,13,0.36%,All
150,,Cheesy Dough Balls,Dough Balls,Third Party Menu,28,£129.81,£129.81,£0.00,28,0.79%,All
151,,Truffle Parmesan Dough Balls,Dough Balls,Third Party Menu,4,£21.05,£21.05,£0.00,4,0.13%,All
152,,Hot Honey Gammon Pizza 12Inch,Stone-Baked Pizzas 12Inch,Food Menu,5,£69.75,£69.75,£0.00,5,0.42%,All
153,,Hot Honey Gammon Pizza 12Inch,Stone-Baked Pizzas (12Inch),Third Party Menu,12,£190.80,£190.59,£0.21,12,1.16%,All
154,,Chicken Alfredo Loaded Fries,Loaded Fries,Food Menu,1,£7.95,£6.63,£1.32,1,0.05%,All
155,,BBQ Chicken Loaded Fries,Loaded Fries,Food Menu,6,£44.70,£37.25,£7.45,6,0.27%,All
156,,Garlic Parmesan Loaded Fries (V),Loaded Fries,Food Menu,10,£69.50,£57.92,£11.58,9,0.42%,All
157,,BBQ Chicken Wings (6 pcs),Chicken,Food Menu,1,£6.75,£5.63,£1.12,1,0.04%,All
158,,Hot Honey Chicken Wings (6 pcs),Chicken,Food Menu,4,£29.00,£24.17,£4.83,4,0.18%,All
159,,Southern Fried Chicken Strips (5 pcs),Chicken,Food Menu,24,£147.84,£123.20,£24.64,22,0.90%,All
160,,Chicken Alfredo Loaded Fries,Loaded Fries,Third Party Menu,21,£189.20,£189.20,£0.00,19,1.15%,All
161,,BBQ Chicken Loaded Fries,Loaded Fries,Third Party Menu,39,£327.42,£327.42,£0.00,38,1.98%,All
162,,Garlic Parmesan Loaded Fries (V),Loaded Fries,Third Party Menu,40,£299.71,£299.71,£0.00,39,1.82%,All
163,,Classic Crispy Chicken Wings (6 pcs),Chicken,Third Party Menu,19,£134.26,£134.26,£0.00,19,0.81%,All
164,,BBQ Chicken Wings (6 pcs),Chicken,Third Party Menu,10,£72.62,£72.62,£0.00,10,0.44%,All
165,,Sweet Chilli Chicken Wings (6 pcs),Chicken,Third Party Menu,3,£23.28,£23.28,£0.00,3,0.14%,All
166,,Hot Honey Chicken Wings (6 pcs),Chicken,Third Party Menu,7,£57.06,£57.06,£0.00,7,0.35%,All
167,,Southern Fried Chicken Strips (5 pcs),Chicken,Third Party Menu,21,£142.16,£142.16,£0.00,21,0.86%,All
168,,Pizzette with Soft Drink,Express Lunch,Third Party Menu,2,£10.53,£10.53,£0.00,2,0.06%,All
169,,Pizzette with Fries and Soft Drink,Express Lunch,Third Party Menu,2,£14.82,£14.82,£0.00,2,0.09%,All
170,,Focaccia Sandwich with Soft Drink,Express Lunch,Third Party Menu,3,£21.57,£21.57,£0.00,3,0.13%,All
171,,Chicken Wings with Fries and Soft Drink,Express Lunch,Third Party Menu,1,£10.29,£10.29,£0.00,1,0.06%,All
172,,Any Classic 12Inch Pizza with Soft Drink,Express Lunch,Third Party Menu,6,£58.35,£58.35,£0.00,6,0.35%,All
173,,2 Classic 12Inch Pizzas with 2 Soft Drinks,Express Lunch,Third Party Menu,2,£40.31,£40.31,£0.00,2,0.24%,All
174,,Strawberry Cheese Cake Tiramisu,ZIA TIRAMISU,Third Party Menu,5,£37.55,£37.55,£0.00,5,0.23%,All
175,,Profiteroles.,Desserts -,Third Party Menu,3,£17.96,£17.96,£0.00,3,0.11%,All
176,,Lasagne Comfort Deal,Deals,Third Party Menu,2,£32.46,£32.38,£0.08,2,0.20%,All
177,,Drinkss,Deals,Deals Menu,8,£5.00,£5.00,£0.00,7,0.03%,All
178,,Dip Optional,Deals,Deals Menu,8,£3.00,£3.00,£0.00,7,0.02%,All
179,,Express Combo,Deals,Third Party Menu,7,£128.73,£128.48,£0.25,7,0.78%,All
180,,Vitto Signature Special 12Inch,Stone-Baked Pizzas 12Inch,Food Menu,1,£13.95,£11.63,£2.33,1,0.08%,All
181,,Classic Crispy Chicken Wings (6 pcs),Chicken,Food Menu,3,£18.75,£15.62,£3.13,3,0.11%,All
182,,Strawberry Cheese Cake Tiramisu,Zia Tiramisu,Food Menu,1,£0.00,£0.00,£0.00,1,0.00%,All
Total,,,,,2105,"£16,511.18","£15,658.47",£818.75,1867,,
